nb_im,sp,pc,eig,var,first,second,third,last
500,1,1,20.914864970915115,48.63922086259331,c.perim,s.c.perim,maj.ax,extent
500,1,2,8.631779306912755,20.073905364913394,skew.dist,kurt.dist,area.perim2,s.c.perim
500,1,3,5.159655357298783,11.999198505346014,perim.maj,s.c.perim.perim,solid,area
500,1,4,1.3904425243045766,3.233587265824598,med.dist,nb.blobs,mean.dist,area
500,1,5,1.2758938303984355,2.9671949544149676,tx.3rd.mom,tx.gray,hflip,s.maj.ax
500,1,6,1.0409864507995925,2.420898722789751,nb.blobs,h90.h180,h180,area
500,10,1,21.052636095388348,48.95961882648455,c.perim,s.c.perim,maj.ax,solid
500,10,2,8.0832162797922,18.798177394865593,skew.dist,kurt.dist,maj.min,s.c.perim
500,10,3,5.2095172848762,12.115156476456285,perim.maj,solid,s.c.perim.perim,area
500,10,4,1.696477716914673,3.9452970160806364,med.dist,nb.blobs,mean.dist,perim
500,10,5,1.25237654652184,2.91250359656242,tx.gray,tx.3rd.mom,h180,maj.min
500,10,6,1.0365999190164985,2.4106974860848815,nb.blobs,tx.contrast,tx.3rd.mom,area
500,2,1,20.974887675832814,48.77880854844842,c.perim,s.c.perim,maj.ax,solid
500,2,2,7.940337328289209,18.465900763463278,skew.dist,kurt.dist,area.perim2,c.perim
500,2,3,5.309799314896218,12.34837049975865,perim.maj,solid,s.c.perim.perim,r.bbox.x
500,2,4,1.5583970340440838,3.62417914893973,med.dist,mean.dist,nb.blobs,s.c.area
500,2,5,1.242951613918586,2.890585148647875,tx.3rd.mom,tx.gray,h180,s.maj.ax
500,2,6,1.1449294177255716,2.662626552850167,nb.blobs,tx.contrast,tx.smooth,r.bbox.y
500,3,1,20.936801045086966,48.69023498857426,c.perim,s.c.perim,maj.ax,extent
500,3,2,8.269362966476582,19.231076666224574,skew.dist,area.perim2,circ,nb.blobs
500,3,3,5.208467209030819,12.112714439606535,perim.maj,s.c.perim.perim,solid,eq.diam
500,3,4,1.5071033470601176,3.5048915047909657,med.dist,nb.blobs,mean.dist,s.c.perim
500,3,5,1.260277984155112,2.93087903291886,tx.3rd.mom,tx.gray,hflip,solid
500,3,6,1.1027346939502998,2.5644992882565067,nb.blobs,h180,h90.h180,mean.dist
500,4,1,21.006601739052183,48.852562183842245,c.perim,s.c.perim,maj.ax,extent
500,4,2,8.146923045637969,18.946332664274333,skew.dist,kurt.dist,circ,nb.blobs
500,4,3,5.172837204813526,12.029853964682607,perim.maj,s.c.perim.perim,solid,r.bbox.x
500,4,4,1.8778712815071745,4.36714251513296,med.dist,nb.blobs,mean.dist,r.bbox.y
500,4,5,1.2576738903821592,2.9248230008887397,tx.3rd.mom,tx.gray,hflip,s.c.perim
500,4,6,1.0560866460640563,2.4560154559629197,nb.blobs,h180,h90.h180,ecc
500,5,1,21.04372810099589,48.93890256045549,c.perim,s.c.perim,maj.ax,solid
500,5,2,8.390948678770304,19.513834136675097,skew.dist,area.perim2,circ,s.c.perim
500,5,3,5.095514748202059,11.850034298144308,perim.maj,s.c.perim.perim,solid,mode.dist
500,5,4,1.562854475995493,3.6345452930127697,med.dist,nb.blobs,mean.dist,s.c.perim
500,5,5,1.283279132307919,2.984370075134691,tx.3rd.mom,tx.gray,nb.blobs,c.perim
500,5,6,1.0632375519471253,2.4726454696444744,nb.blobs,h180,h90.h180,mean.dist
500,6,1,21.359188790500493,49.67253207093135,c.perim,s.c.perim,maj.ax,solid
500,6,2,8.195165884770635,19.05852531342007,skew.dist,kurt.dist,maj.min,c.perim
500,6,3,5.1011455341123595,11.863129149098503,perim.maj,solid,s.c.perim.perim,area
500,6,4,1.4924904899149625,3.470908116081306,med.dist,mean.dist,nb.blobs,min.ax
500,6,5,1.2435369915814332,2.8919464920498426,tx.3rd.mom,tx.gray,nb.blobs,h90
500,6,6,1.0743255253984167,2.498431454414921,nb.blobs,tx.contrast,tx.smooth,c.perim
500,7,1,21.02877119573827,48.90411905985634,c.perim,s.c.perim,maj.ax,solid
500,7,2,8.413840997587597,19.567072087412978,skew.dist,kurt.dist,maj.min,c.perim
500,7,3,4.961934173707091,11.539381799318793,perim.maj,solid,s.c.perim.perim,area
500,7,4,1.656733120310259,3.8528677216517577,med.dist,mean.dist,nb.blobs,area
500,7,5,1.2393422123906503,2.8821911916061578,tx.3rd.mom,tx.gray,h180,s.c.perim
500,7,6,1.0864408275100645,2.526606575604796,nb.blobs,tx.contrast,h90.h180,r.bbox.y
500,8,1,21.172602238988247,49.23860985811219,c.perim,s.c.perim,maj.ax,extent
